Date,Settle
1974-12-31,189.7
1975-01-02,181.5
1975-01-03,180.9
1975-01-06,179.8
1975-01-07,178.8
1975-01-08,183.6
1975-01-09,184.0
1975-01-10,186.8
1975-01-13,184.4
1975-01-14,184.2
1975-01-15,183.0
1975-01-16,180.7
1975-01-17,177.7
1975-01-20,181.8
1975-01-21,179.3
1975-01-22,179.9
1975-01-23,181.9
1975-01-24,185.2
1975-01-27,182.4
1975-01-28,181.6
1975-01-29,184.6
1975-01-30,181.3
1975-01-31,181.0
1975-02-03,181.3
1975-02-04,180.3
1975-02-05,179.6
1975-02-06,179.0
1975-02-07,180.0
1975-02-10,178.3
1975-02-11,179.5
1975-02-13,188.5
1975-02-14,187.8
1975-02-18,188.3
1975-02-19,188.5
1975-02-20,190.6
1975-02-21,189.0
1975-02-24,189.9
1975-02-25,187.4
1975-02-26,191.2
1975-02-27,188.5
1975-02-28,188.8
1975-03-03,188.4
1975-03-04,182.6
1975-03-05,183.9
1975-03-06,185.7
1975-03-07,183.0
1975-03-10,182.1
1975-03-11,184.9
1975-03-12,183.0
1975-03-13,184.4
1975-03-14,183.6
1975-03-17,183.6
1975-03-18,183.3
1975-03-19,183.9
1975-03-20,180.2
1975-03-21,180.3
1975-03-24,180.7
1975-03-25,181.1
1975-03-26,183.2
1975-03-27,181.0
1975-03-31,181.9
1975-04-01,181.5
1975-04-02,180.5
1975-04-03,179.5
1975-04-04,176.1
1975-04-07,176.4
1975-04-08,176.8
1975-04-09,176.8
1975-04-10,175.3
1975-04-11,174.9
1975-04-14,168.3
1975-04-15,166.7
1975-04-16,168.6
1975-04-17,171.6
1975-04-18,171.0
1975-04-21,167.8
1975-04-22,168.8
1975-04-23,170.9
1975-04-24,169.1
1975-04-25,168.9
1975-04-28,170.6
1975-04-29,172.1
1975-04-30,171.1
1975-05-01,170.8
1975-05-02,169.3
1975-05-05,167.6
1975-05-06,168.9
1975-05-07,170.1
1975-05-08,171.3
1975-05-09,170.6
1975-05-12,169.9
1975-05-13,170.8
1975-05-14,173.4
1975-05-15,170.1
1975-05-16,171.1
1975-05-19,173.0
1975-05-20,172.3
1975-05-21,176.3
1975-05-22,177.8
1975-05-23,179.2
1975-05-27,176.8
1975-05-28,174.9
1975-05-29,172.5
1975-05-30,171.5
1975-06-02,167.5
1975-06-03,169.8
1975-06-04,168.1
1975-06-05,169.7
1975-06-06,169.4
1975-06-09,170.8
1975-06-10,169.6
1975-06-11,169.1
1975-06-12,168.7
1975-06-13,168.1
1975-06-16,166.6
1975-06-17,168.2
1975-06-18,167.6
1975-06-19,166.5
1975-06-20,166.6
1975-06-23,165.8
1975-06-24,166.9
1975-06-25,168.8
1975-06-26,171.0
1975-06-27,173.2
1975-06-30,173.1
1975-07-01,173.4
1975-07-02,171.6
1975-07-03,171.8
1975-07-07,169.2
1975-07-08,172.0
1975-07-09,172.2
1975-07-10,170.7
1975-07-11,173.0
1975-07-14,172.7
1975-07-15,171.5
1975-07-16,170.9
1975-07-17,170.8
1975-07-18,170.8
1975-07-21,170.6
1975-07-22,172.2
1975-07-23,171.5
1975-07-24,172.0
1975-07-25,174.3
1975-07-28,176.1
1975-07-29,173.8
1975-07-30,173.8
1975-07-31,173.4
1975-08-01,173.4
1975-08-04,173.1
1975-08-05,171.6
1975-08-06,171.0
1975-08-07,171.3
1975-08-08,166.6
1975-08-11,166.7
1975-08-12,168.4
1975-08-13,165.0
1975-08-14,163.9
1975-08-15,166.8
1975-08-18,166.2
1975-08-19,166.2
1975-08-20,167.0
1975-08-21,166.3
1975-08-22,165.8
1975-08-25,166.0
1975-08-26,165.6
1975-08-27,169.0
1975-08-28,168.5
1975-08-29,165.8
1975-09-02,155.8
1975-09-03,156.3
1975-09-04,157.9
1975-09-05,158.7
1975-09-08,155.5
1975-09-09,154.2
1975-09-10,152.8
1975-09-11,152.0
1975-09-12,152.1
1975-09-15,152.4
1975-09-16,150.1
1975-09-17,146.6
1975-09-18,140.0
1975-09-19,140.6
1975-09-22,137.0
1975-09-23,133.4
1975-09-24,139.7
1975-09-25,139.2
1975-09-26,141.3
1975-09-29,142.2
1975-09-30,144.6
1975-10-01,146.6
1975-10-02,145.7
1975-10-03,142.1
1975-10-06,144.8
1975-10-07,146.0
1975-10-08,141.8
1975-10-09,143.8
1975-10-10,145.8
1975-10-14,145.1
1975-10-15,145.1
1975-10-16,146.2
1975-10-17,148.2
1975-10-20,148.9
1975-10-21,147.2
1975-10-22,148.5
1975-10-23,147.1
1975-10-24,146.0
1975-10-27,144.8
1975-10-28,144.7
1975-10-29,147.6
1975-10-30,147.0
1975-10-31,146.1
1975-11-03,146.6
1975-11-05,152.0
1975-11-06,149.6
1975-11-07,149.7
1975-11-10,148.3
1975-11-12,147.6
1975-11-13,146.4
1975-11-14,145.0
1975-11-17,142.6
1975-11-18,143.6
1975-11-19,146.2
1975-11-20,145.1
1975-11-21,144.4
1975-11-24,144.7
1975-11-25,143.7
1975-11-26,142.9
1975-11-28,140.5
1975-12-01,140.1
1975-12-02,141.6
1975-12-03,140.4
1975-12-04,140.5
1975-12-05,140.1
1975-12-08,138.2
1975-12-09,139.4
1975-12-10,141.1
1975-12-11,141.2
1975-12-12,140.1
1975-12-15,139.3
1975-12-16,140.1
1975-12-17,140.4
1975-12-18,140.3
1975-12-19,147.3
1975-12-22,145.0
1975-12-23,143.2
1975-12-24,143.1
1975-12-29,144.8
1975-12-30,144.7
1975-12-31,143.8
1976-01-02,143.9
1976-01-05,142.3
1976-01-06,142.7
1976-01-07,142.0
1976-01-08,138.4
1976-01-09,139.2
1976-01-12,139.2
1976-01-13,134.0
1976-01-14,135.1
1976-01-15,133.7
1976-01-16,133.1
1976-01-19,129.5
1976-01-20,126.1
1976-01-21,126.0
1976-01-22,127.8
1976-01-23,130.2
1976-01-26,127.7
1976-01-27,128.1
1976-01-28,130.4
1976-01-29,130.1
1976-01-30,130.2
1976-02-02,132.6
1976-02-03,132.3
1976-02-04,130.5
1976-02-05,130.5
1976-02-06,132.5
1976-02-09,131.3
1976-02-10,131.8
1976-02-11,131.2
1976-02-12,131.6
1976-02-13,132.1
1976-02-17,130.9
1976-02-18,131.1
1976-02-19,131.3
1976-02-20,132.3
1976-02-23,132.1
1976-02-24,134.6
1976-02-25,135.2
1976-02-26,133.9
1976-02-27,134.1
1976-03-01,133.5
1976-03-02,133.0
1976-03-03,132.8
1976-03-04,134.0
1976-03-05,135.6
1976-03-08,134.5
1976-03-09,134.8
1976-03-10,135.4
1976-03-11,135.0
1976-03-12,134.5
1976-03-15,134.3
1976-03-16,133.9
1976-03-17,134.9
1976-03-18,134.9
1976-03-19,135.6
1976-03-22,134.8
1976-03-23,134.6
1976-03-24,134.1
1976-03-25,134.1
1976-03-26,130.5
1976-03-29,129.5
1976-03-30,130.9
1976-03-31,130.5
1976-04-01,130.5
1976-04-02,130.4
1976-04-05,128.9
1976-04-06,129.3
1976-04-07,128.8
1976-04-08,130.2
1976-04-09,128.4
1976-04-12,129.4
1976-04-13,129.5
1976-04-14,129.1
1976-04-15,129.1
1976-04-19,129.8
1976-04-20,129.9
1976-04-21,128.8
1976-04-22,128.9
1976-04-23,128.9
1976-04-26,129.7
1976-04-27,130.4
1976-04-28,130.9
1976-04-29,130.9
1976-04-30,131.3
1976-05-03,131.3
1976-05-04,130.6
1976-05-05,130.6
1976-05-06,131.6
1976-05-07,131.1
1976-05-10,130.9
1976-05-11,130.7
1976-05-12,130.6
1976-05-13,130.1
1976-05-14,130.0
1976-05-17,129.7
1976-05-18,129.5
1976-05-19,127.6
1976-05-20,127.8
1976-05-21,128.1
1976-05-24,127.4
1976-05-25,127.0
1976-05-26,129.5
1976-05-27,129.4
1976-05-28,128.6
1976-06-01,131.0
1976-06-02,132.7
1976-06-03,130.8
1976-06-04,129.4
1976-06-07,130.3
1976-06-08,130.2
1976-06-09,129.6
1976-06-10,129.3
1976-06-11,128.4
1976-06-14,128.7
1976-06-15,128.6
1976-06-16,127.9
1976-06-17,128.5
1976-06-18,128.6
1976-06-21,128.7
1976-06-22,127.3
1976-06-23,126.9
1976-06-24,126.9
1976-06-25,126.7
1976-06-28,126.2
1976-06-29,126.3
1976-06-30,126.0
1976-07-01,125.8
1976-07-02,126.3
1976-07-06,126.6
1976-07-07,126.4
1976-07-08,126.2
1976-07-09,125.5
1976-07-12,124.7
1976-07-13,125.6
1976-07-14,125.7
1976-07-15,120.0
1976-07-16,120.1
1976-07-19,114.6
1976-07-20,110.9
1976-07-21,114.8
1976-07-22,113.0
1976-07-23,113.3
1976-07-26,114.3
1976-07-27,115.4
1976-07-28,115.2
1976-07-29,113.7
1976-07-30,114.2
1976-08-02,113.3
1976-08-03,113.9
1976-08-04,114.3
1976-08-05,113.3
1976-08-06,113.8
1976-08-09,113.6
1976-08-10,114.7
1976-08-11,114.5
1976-08-12,113.9
1976-08-13,114.5
1976-08-16,114.0
1976-08-17,112.2
1976-08-18,108.8
1976-08-19,108.9
1976-08-20,108.6
1976-08-23,104.5
1976-08-24,103.4
1976-08-25,106.1
1976-08-26,104.9
1976-08-27,103.5
1976-08-30,103.2
1976-08-31,103.6
1976-09-01,105.8
1976-09-02,105.8
1976-09-03,108.5
1976-09-07,112.3
1976-09-08,112.9
1976-09-09,114.4
1976-09-10,119.0
1976-09-13,115.3
1976-09-14,111.3
1976-09-15,112.8
1976-09-16,114.5
1976-09-17,118.0
1976-09-20,115.4
1976-09-21,119.4
1976-09-22,118.7
1976-09-23,118.0
1976-09-24,118.8
1976-09-27,117.9
1976-09-28,116.5
1976-09-29,116.5
1976-09-30,116.5
1976-10-01,116.3
1976-10-04,114.4
1976-10-05,114.6
1976-10-06,116.7
1976-10-07,115.5
1976-10-08,114.0
1976-10-11,114.5
1976-10-12,114.7
1976-10-13,115.1
1976-10-14,115.0
1976-10-15,117.3
1976-10-18,117.3
1976-10-19,115.6
1976-10-20,115.1
1976-10-21,116.4
1976-10-22,115.9
1976-10-25,117.1
1976-10-26,118.7
1976-10-27,120.9
1976-10-28,126.8
1976-10-29,125.1
1976-11-01,125.0
1976-11-03,126.7
1976-11-04,127.3
1976-11-05,129.4
1976-11-08,134.6
1976-11-09,135.0
1976-11-10,139.1
1976-11-11,137.7
1976-11-12,138.8
1976-11-15,137.8
1976-11-16,135.3
1976-11-17,133.6
1976-11-18,130.2
1976-11-19,132.7
1976-11-22,137.1
1976-11-23,134.4
1976-11-24,134.9
1976-11-26,131.6
1976-11-29,132.3
1976-11-30,133.7
1976-12-01,133.2
1976-12-02,133.1
1976-12-03,134.3
1976-12-06,137.1
1976-12-07,135.9
1976-12-08,139.3
1976-12-09,139.8
1976-12-10,140.1
1976-12-13,137.4
1976-12-14,138.0
1976-12-15,134.5
1976-12-16,135.9
1976-12-17,132.9
1976-12-20,133.3
1976-12-21,136.1
1976-12-22,135.3
1976-12-23,134.8
1976-12-27,135.2
1976-12-28,136.5
1976-12-29,137.1
1976-12-30,137.7
1977-01-03,138.2
1977-01-04,138.6
1977-01-05,135.3
1977-01-06,135.7
1977-01-07,135.2
1977-01-10,129.5
1977-01-11,132.6
1977-01-12,133.6
1977-01-13,134.2
1977-01-14,133.4
1977-01-17,134.6
1977-01-18,134.4
1977-01-19,135.0
1977-01-20,135.0
1977-01-21,134.5
1977-01-24,134.8
1977-01-25,136.6
1977-01-26,133.8
1977-01-27,133.3
1977-01-28,134.0
1977-01-31,135.1
1977-02-01,134.6
1977-02-02,135.0
1977-02-03,134.6
1977-02-04,135.0
1977-02-07,137.5
1977-02-08,136.7
1977-02-09,138.2
1977-02-10,137.4
1977-02-11,138.0
1977-02-14,137.6
1977-02-15,137.3
1977-02-16,138.3
1977-02-17,138.8
1977-02-18,139.4
1977-02-22,141.0
1977-02-23,142.0
1977-02-24,144.8
1977-02-25,145.0
1977-02-28,147.5
1977-03-01,146.5
1977-03-02,150.4
1977-03-03,149.0
1977-03-04,151.2
1977-03-07,151.3
1977-03-08,151.2
1977-03-09,151.0
1977-03-10,149.8
1977-03-11,149.2
1977-03-14,148.7
1977-03-15,151.1
1977-03-16,152.3
1977-03-17,153.4
1977-03-18,154.2
1977-03-21,157.0
1977-03-22,154.2
1977-03-23,157.2
1977-03-24,156.2
1977-03-25,156.5
1977-03-28,153.1
1977-03-29,151.7
1977-03-30,153.0
1977-03-31,152.5
1977-04-01,153.7
1977-04-04,152.6
1977-04-05,149.1
1977-04-06,150.4
1977-04-07,151.0
1977-04-11,152.2
1977-04-12,152.8
1977-04-13,155.4
1977-04-14,154.9
1977-04-15,154.3
1977-04-18,153.9
1977-04-19,152.6
1977-04-20,150.7
1977-04-21,151.5
1977-04-22,151.6
1977-04-25,149.8
1977-04-26,148.1
1977-04-27,149.8
1977-04-28,149.0
1977-04-29,150.8
1977-05-02,152.5
1977-05-03,150.8
1977-05-04,150.8
1977-05-05,150.3
1977-05-06,151.3
1977-05-09,151.0
1977-05-10,150.8
1977-05-11,150.3
1977-05-12,150.7
1977-05-13,151.2
1977-05-16,151.5
1977-05-17,150.5
1977-05-18,149.8
1977-05-19,149.9
1977-05-20,149.8
1977-05-23,148.0
1977-05-24,146.7
1977-05-25,146.8
1977-05-26,145.2
1977-05-27,146.7
1977-05-31,145.7
1977-06-01,146.4
1977-06-02,144.9
1977-06-03,144.9
1977-06-06,145.6
1977-06-07,145.0
1977-06-08,144.1
1977-06-09,142.0
1977-06-10,143.4
1977-06-13,139.8
1977-06-14,139.0
1977-06-15,141.7
1977-06-16,141.5
1977-06-17,141.9
1977-06-20,142.3
1977-06-21,142.9
1977-06-22,141.9
1977-06-23,142.8
1977-06-24,143.0
1977-06-27,145.7
1977-06-28,145.5
1977-06-29,146.2
1977-06-30,146.1
1977-07-01,144.4
1977-07-05,143.1
1977-07-06,143.6
1977-07-07,144.3
1977-07-08,144.7
1977-07-11,143.9
1977-07-12,145.9
1977-07-13,147.5
1977-07-15,147.2
1977-07-18,148.3
1977-07-19,147.7
1977-07-20,147.3
1977-07-21,146.6
1977-07-22,147.7
1977-07-25,149.7
1977-07-26,149.1
1977-07-27,147.8
1977-07-28,146.4
1977-07-29,147.1
1977-08-01,148.2
1977-08-02,148.3
1977-08-03,149.1
1977-08-04,148.6
1977-08-05,149.2
1977-08-08,149.3
1977-08-09,148.5
1977-08-10,148.6
1977-08-11,148.6
1977-08-12,146.0
1977-08-15,144.7
1977-08-16,145.9
1977-08-17,146.4
1977-08-18,147.0
1977-08-19,146.8
1977-08-22,146.2
1977-08-23,146.4
1977-08-24,146.9
1977-08-25,146.4
1977-08-26,148.6
