Date,Settle
1990-04-03,1.68
1990-04-04,1.65
1990-04-05,1.645
1990-04-06,1.635
1990-04-09,1.655
1990-04-10,1.645
1990-04-11,1.638
1990-04-12,1.645
1990-04-16,1.64
1990-04-17,1.66
1990-04-18,1.675
1990-04-19,1.68
1990-04-20,1.67
1990-04-23,1.67
1990-04-24,1.67
1990-04-25,1.665
1990-04-26,1.675
1990-04-27,1.675
1990-04-30,1.68
1990-05-01,1.673
1990-05-02,1.674
1990-05-03,1.675
1990-05-04,1.675
1990-05-07,1.674
1990-05-08,1.676
1990-05-09,1.685
1990-05-10,1.686
1990-05-11,1.684
1990-05-14,1.678
1990-05-15,1.677
1990-05-16,1.685
1990-05-17,1.681
1990-05-18,1.689
1990-05-21,1.677
1990-05-22,1.675
1990-05-23,1.705
1990-05-24,1.704
1990-05-25,1.701
1990-05-29,1.702
1990-05-30,1.707
1990-05-31,1.71
1990-06-01,1.7
1990-06-04,1.699
1990-06-05,1.689
1990-06-06,1.689
1990-06-07,1.695
1990-06-08,1.692
1990-06-11,1.685
1990-06-12,1.682
1990-06-13,1.669
1990-06-14,1.671
1990-06-15,1.672
1990-06-18,1.662
1990-06-19,1.652
1990-06-20,1.64
1990-06-21,1.839
1990-06-22,1.833
1990-06-25,1.833
1990-06-26,1.83
1990-06-27,1.82
1990-06-28,1.803
1990-06-29,1.809
1990-07-02,1.809
1990-07-03,1.805
1990-07-05,1.796
1990-07-06,1.785
1990-07-09,1.75
1990-07-10,1.737
1990-07-11,1.74
1990-07-12,1.748
1990-07-13,1.77
1990-07-16,1.8
1990-07-17,1.8
1990-07-18,1.85
1990-07-19,1.83
1990-07-20,1.815
1990-07-23,2.122
1990-07-24,2.135
1990-07-25,2.135
1990-07-26,2.135
1990-07-27,2.148
1990-07-30,2.157
1990-07-31,2.14
1990-08-01,2.12
1990-08-02,2.125
1990-08-03,2.22
1990-08-06,2.305
1990-08-07,2.205
1990-08-08,2.16
1990-08-09,2.16
1990-08-10,2.185
1990-08-14,2.17
1990-08-15,2.153
1990-08-16,2.175
1990-08-17,2.203
1990-08-20,2.19
1990-08-21,2.213
1990-08-22,2.215
1990-08-23,2.395
1990-08-24,2.395
1990-08-27,2.355
1990-08-28,2.335
1990-08-29,2.291
1990-08-30,2.337
1990-08-31,2.36
1990-09-04,2.385
1990-09-05,2.385
1990-09-06,2.4
1990-09-07,2.39
1990-09-10,2.38
1990-09-11,2.386
1990-09-12,2.385
1990-09-13,2.392
1990-09-14,2.4
1990-09-17,2.413
1990-09-18,2.405
1990-09-19,2.405
1990-09-20,2.23
1990-09-21,2.26
1990-09-24,2.346
1990-09-25,2.35
1990-09-26,2.37
1990-09-27,2.402
1990-09-28,2.485
1990-10-01,2.455
1990-10-02,2.385
1990-10-03,2.445
1990-10-04,2.47
1990-10-05,2.527
1990-10-08,2.6
1990-10-09,2.68
1990-10-10,2.675
1990-10-11,2.73
1990-10-12,2.683
1990-10-15,2.61
1990-10-16,2.655
1990-10-17,2.6
1990-10-18,2.61
1990-10-19,2.525
1990-10-22,2.468
1990-10-23,1.93
1990-10-24,1.87
1990-10-25,1.86
1990-10-26,1.898
1990-10-29,1.879
1990-10-30,1.92
1990-10-31,1.89
1990-11-01,1.863
1990-11-02,1.9
1990-11-05,1.89
1990-11-06,1.905
1990-11-07,1.941
1990-11-08,1.91
1990-11-09,1.9
1990-11-12,1.9
1990-11-13,1.9
1990-11-14,1.904
1990-11-15,1.887
1990-11-16,1.86
1990-11-19,1.885
1990-11-20,1.89
1990-11-21,1.6
1990-11-23,1.6
1990-11-26,1.6
1990-11-27,1.585
1990-11-28,1.61
1990-11-29,1.6
1990-11-30,1.595
1990-12-03,1.615
1990-12-04,1.585
1990-12-05,1.565
1990-12-06,1.52
1990-12-07,1.54
1990-12-10,1.555
1990-12-11,1.53
1990-12-12,1.526
1990-12-13,1.525
1990-12-14,1.53
1990-12-17,1.505
1990-12-18,1.5
1990-12-19,1.5
1990-12-20,1.52
1990-12-21,1.52
1990-12-26,1.515
1990-12-27,1.525
1990-12-28,1.525
1990-12-31,1.53
1991-01-02,1.505
1991-01-03,1.507
1991-01-04,1.495
1991-01-07,1.5
1991-01-08,1.505
1991-01-09,1.505
1991-01-10,1.465
1991-01-11,1.47
1991-01-14,1.5
1991-01-15,1.495
1991-01-16,1.495
1991-01-17,1.465
1991-01-18,1.44
1991-01-21,1.46
1991-01-22,1.441
1991-01-23,1.429
1991-01-24,1.45
1991-01-25,1.454
1991-01-28,1.44
1991-01-29,1.44
1991-01-30,1.44
1991-01-31,1.44
1991-02-01,1.435
1991-02-04,1.425
1991-02-05,1.418
1991-02-06,1.43
1991-02-07,1.43
1991-02-08,1.435
1991-02-11,1.42
1991-02-12,1.44
1991-02-13,1.448
1991-02-14,1.44
1991-02-15,1.44
1991-02-19,1.44
1991-02-20,1.45
1991-02-21,1.44
1991-02-22,1.445
1991-02-25,1.446
1991-02-26,1.457
1991-02-27,1.461
1991-02-28,1.47
1991-03-01,1.468
1991-03-04,1.463
1991-03-05,1.45
1991-03-06,1.444
1991-03-07,1.445
1991-03-08,1.44
1991-03-11,1.439
1991-03-12,1.44
1991-03-13,1.455
1991-03-14,1.445
1991-03-15,1.439
1991-03-18,1.435
1991-03-19,1.44
1991-03-20,1.466
1991-03-21,1.48
1991-03-22,1.469
1991-03-25,1.472
1991-03-26,1.47
1991-03-27,1.468
1991-03-28,1.47
1991-04-01,1.461
1991-04-02,1.45
1991-04-03,1.451
1991-04-04,1.45
1991-04-05,1.457
1991-04-08,1.46
1991-04-09,1.47
1991-04-10,1.458
1991-04-11,1.457
1991-04-12,1.463
1991-04-15,1.465
1991-04-16,1.461
1991-04-17,1.46
1991-04-18,1.456
1991-04-19,1.45
1991-04-22,1.443
1991-04-23,1.446
1991-04-24,1.433
1991-04-25,1.421
1991-04-26,1.405
1991-04-29,1.397
1991-04-30,1.395
1991-05-01,1.393
1991-05-02,1.391
1991-05-03,1.389
1991-05-06,1.392
