Date,Settle
1999-06-24,2242.0
1999-07-02,2400.5
1999-07-06,2404.0
1999-07-12,2444.5
1999-07-13,2431.5
1999-08-13,2344.0
1999-08-17,2371.0
1999-08-18,2348.5
1999-09-02,2430.0
1999-09-07,2532.0
1999-09-08,2498.0
1999-09-09,2538.0
1999-09-10,2565.0
1999-09-13,2525.5
1999-09-14,2544.0
1999-09-15,2494.0
1999-09-17,2568.5
1999-09-20,2600.5
1999-09-21,2542.0
1999-09-22,2567.0
1999-09-23,2463.0
1999-09-24,2455.5
1999-09-27,2481.5
1999-09-28,2495.0
1999-09-29,2449.0
1999-09-30,2469.0
1999-10-01,2465.0
1999-10-04,2526.5
1999-10-05,2539.0
1999-10-06,2587.5
1999-10-07,2581.0
1999-10-08,2612.5
1999-10-11,2644.0
1999-10-12,2591.5
1999-10-13,2507.0
1999-10-14,2526.5
1999-10-15,2451.0
1999-10-18,2417.5
1999-10-19,2414.5
1999-10-20,2503.0
1999-10-21,2545.0
1999-10-22,2528.5
1999-10-25,2531.5
1999-10-26,2508.0
1999-10-27,2510.0
1999-10-28,2595.5
1999-10-29,2689.0
1999-11-01,2672.5
1999-11-02,2676.5
1999-11-03,2729.5
1999-11-05,2821.0
1999-11-08,2843.0
1999-11-09,2821.5
1999-11-10,2853.5
1999-11-11,2902.5
1999-11-12,2945.0
1999-11-15,2932.5
1999-11-16,3013.0
1999-11-17,2968.0
1999-11-18,3059.0
1999-11-19,3085.5
1999-11-22,3109.0
1999-11-23,3055.5
1999-11-24,3163.5
1999-11-26,3163.0
1999-11-29,3114.5
1999-11-30,3012.0
1999-12-01,3054.5
1999-12-02,3153.5
1999-12-03,3218.5
1999-12-06,3248.5
1999-12-07,3256.0
1999-12-08,3209.5
1999-12-09,3211.5
1999-12-10,3255.0
1999-12-13,3287.0
1999-12-14,3224.0
1999-12-15,3275.5
1999-12-16,3382.0
1999-12-17,3414.0
1999-12-20,3498.5
1999-12-21,3649.0
1999-12-22,3670.5
1999-12-23,3696.0
1999-12-27,3692.0
1999-12-28,3674.5
1999-12-29,3796.5
1999-12-30,3786.5
1999-12-31,3806.0
2000-01-03,3896.5
2000-01-04,3607.5
2000-01-05,3562.5
2000-01-06,3362.5
2000-01-07,3607.5
2000-01-10,3820.0
2000-01-11,3625.0
2000-01-12,3553.5
2000-01-13,3702.5
2000-01-14,3801.5
2000-01-18,3860.0
2000-01-19,3902.0
2000-01-20,3928.5
2000-01-21,3943.5
2000-01-24,3736.5
2000-01-25,3845.5
2000-01-26,3706.5
2000-01-27,3688.0
2000-01-28,3525.0
2000-01-31,3662.5
2000-02-01,3687.0
2000-02-02,3786.0
2000-02-03,3944.5
2000-02-04,3960.5
2000-02-07,4011.5
2000-02-08,4151.0
2000-02-09,4032.0
2000-02-10,4168.5
2000-02-11,4049.0
2000-02-14,4060.0
2000-02-15,4093.0
2000-02-16,4077.0
2000-02-17,4163.5
2000-02-18,4025.5
2000-02-22,4021.0
2000-02-23,4245.5
2000-02-24,4256.0
2000-02-25,4254.0
2000-02-28,4218.0
2000-02-29,4362.0
2000-03-01,4386.5
2000-03-02,4290.0
2000-03-03,4516.5
2000-03-06,4563.5
2000-03-07,4428.5
2000-03-08,4521.5
2000-03-09,4671.0
2000-03-10,4667.0
2000-03-13,4518.0
2000-03-14,4325.0
2000-03-15,4190.0
2000-03-16,4418.0
2000-03-17,4512.0
2000-03-20,4408.5
2000-03-21,4574.0
2000-03-22,4676.0
2000-03-23,4788.5
2000-03-24,4860.0
2000-03-27,4818.0
